# x1 x2 x3
# 429 3
# 429 3
 1.72727115e-01  6.00507820e-01  3.60844773e-01
 2.58728906e-01  6.50349912e-01  3.50881663e-01
 2.58956593e-01  5.51066275e-01  3.62794515e-01
 3.44771804e-01  6.00808869e-01  3.51947613e-01
 3.45014486e-01  5.01639961e-01  3.62757165e-01
 4.30749294e-01  5.51321012e-01  3.50852015e-01
 4.31000126e-01  4.52196312e-01  3.60789643e-01
 3.45148128e-01  4.02449207e-01  3.71810207e-01
 4.31191231e-01  3.53038819e-01  3.68740581e-01
 5.17005685e-01  4.02793985e-01  3.56946177e-01
 5.17224124e-01  3.03644273e-01  3.63836710e-01
 3.45300155e-01  3.03144184e-01  3.78711561e-01
 6.02989315e-01  3.53433060e-01  3.51036264e-01
 6.05236689e-01  4.55826004e-01  3.42498434e-01
 2.59189550e-01  3.52617054e-01  3.80712571e-01
 4.31050402e-01  6.49413676e-01  3.39049901e-01
 6.02645234e-01  2.55591220e-01  3.57070681e-01
 6.90198071e-01  3.07000387e-01  3.42730026e-01
 2.60756933e-01  2.55224321e-01  3.86587542e-01
 3.46630030e-01  2.06056427e-01  3.83631165e-01
 2.55864204e-01  7.41454041e-01  3.38370052e-01
 5.11748819e-01  1.88860035e-01  3.70085340e-01
 6.91411156e-01  2.11642451e-01  3.47548014e-01
 5.17425753e-01  6.02966699e-01  3.36770534e-01
 5.11143060e-01  7.02877880e-01  3.24260571e-01
 6.08192065e-01  5.63656084e-01  3.31081318e-01
 7.76443153e-01  2.61244403e-01  3.32753979e-01
 7.72369546e-01  1.61758777e-01  3.37511378e-01
 8.64106571e-01  2.05788985e-01  3.21045421e-01
 1.72884765e-01  3.02853665e-01  3.87621511e-01
 1.72162465e-01  8.07008591e-01  3.31759821e-01
 1.72858668e-01  5.01113235e-01  3.71682277e-01
 3.42608185e-01  6.93642964e-01  3.39987608e-01
 6.88695088e-01  4.03115870e-01  3.36201537e-01
 6.87071779e-01  5.11714732e-01  3.26416257e-01
 7.74670489e-01  3.60037570e-01  3.26814438e-01
 5.18268269e-01  5.04793349e-01  3.47471617e-01
 5.53266326e-01  8.64582375e-02  3.68456208e-01
 3.48123697e-01  1.03494808e-01  3.86623255e-01
 8.46674575e-02  1.50461172e-01  3.96846834e-01
 1.81304853e-01  1.85997742e-01  3.93089914e-01
 8.64206687e-02  5.50315011e-01  3.68791442e-01
 2.59077408e-01  4.51834335e-01  3.72750746e-01
 4.31475031e-01  2.53867147e-01  3.74758365e-01
 1.72920736e-01  4.01796525e-01  3.80746944e-01
 8.61150661e-02  3.50844330e-01  3.86771337e-01
 1.46708884e-01  8.32636233e-02  3.96999987e-01
 4.16760977e-01  7.43350728e-01  3.27233605e-01
 3.13978129e-01  8.66464375e-01  3.14972807e-01
 6.19258954e-01  1.58717236e-01  3.58936626e-01
 6.89451780e-01  6.08290513e-01  3.15315511e-01
 7.50000000e-01  7.18235846e-02  3.43119086e-01
 9.24205447e-01  1.30133674e-01  3.12818126e-01
 1.36340152e-01  9.19130647e-01  3.13567369e-01
 4.18975460e-01  1.68652102e-01  3.79400391e-01
 2.75578285e-01  1.68138208e-01  3.89416252e-01
 7.52865431e-01  5.55745312e-01  3.12242834e-01
 4.86492410e-01  7.91762281e-01  3.13502767e-01
 3.31112713e-01  7.83352194e-01  3.27574792e-01
 7.32050808e-02  7.32050808e-02  3.98849575e-01
 8.47643285e-01  4.01268427e-01  3.11949524e-01
 5.62008361e-01  7.57780552e-01  3.10779370e-01
 2.55389692e-01  8.22027404e-01  3.25743916e-01
 7.02353133e-01  1.34635588e-01  3.48738265e-01
